测试,#genre#
无线新闻1,tvbus://5VGCBcmwQy56rSi1ZiKRmqbt9M2TK1nJTCG88XE29ZW5x7tWURTeGNDVmqLj8
无线新闻2,http://520574.xyz/dl/tvb.php?id=wxhd
无线新闻台,p8p://0198.02686.cc:16871/5d1a69dc000d64b611be7bef5757286e.ts
有线新闻台,p8p://0198.02686.cc:16871/5e021549000d8ec4e44477e9f2ec6aad.ts
now新闻台,p8p://0198.02686.cc:16871/5e565c070000cb6f2d78cad5c040fa7b
now直播台,p8p://0198.02686.cc:16871/5f2cb8a50005cce1172a735005454a58

BesTV4K,http://112.17.40.145/PLTV/88888888/224/3221226718/index.m3u8
BesTV4K,http://117.148.187.83/PLTV/88888888/224/3221226718/index.m3u8
BesTV4K,http://117.148.187.37/PLTV/88888888/224/3221226718/index.m3u8
海看4K,http://120.221.5.105:8089/PLTV/88888888/224/3221225833/index.m3u8
海看4K,http://120.221.5.106:8089/PLTV/88888888/224/3221225833/index.m3u8
海看4K,http://120.221.5.175:8089/PLTV/88888888/224/3221225833/index.m3u8
海看4K,http://120.221.5.176:8089/PLTV/88888888/224/3221225833/index.m3u8
河南4k,http://39.134.230.196:9090/39.134.213.85/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226162/index.m3u8
Dox4k,https://t.me/tvbox002/276801
咪咕4K HDR,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226399/1.m3u8
Bestv轮播,http://520574.xyz/dl/migu.php?id=639528181
bestv高清影视,http://520574.xyz/dl/migu.php?id=617432318
纯享4K,http://ott.js.chinamobile.com/PLTV/3/224/3221227506/index.m3u8
纯享4K,http://112.50.243.4/PLTV/88888888/224/3221226825/1.m3u8
纯享4K,http://112.50.243.5/PLTV/88888888/224/3221226825/1.m3u8
纯享4K,http://112.50.243.8/PLTV/88888888/224/3221226825/1.m3u8
纯享4K,http://39.135.33.12/PLTV/88888888/224/3221226530/index.m3u8
爱上4K,http://118.123.60.5:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_chan_hls_se_idx=097&Provider_id=&Pcontent_id=index.m3u8
超高清CCTV-4K,http://112.17.40.13/PLTV/88888888/224/3221226758/1.m3u8
超高清CCTV-4K,http://39.134.185.39/PLTV/88888888/224/3221226758/index.m3u8
超高清CCTV-4K,http://39.134.185.69/PLTV/88888888/224/3221226758/1.m3u8
超高清CCTV-4K,http://39.134.176.148/PLTV/88888888/224/3221226758/index.m3u8
超高清CCTV-4K,http://117.148.130.102/PLTV/88888888/224/3221229683/index.m3u8
超高清CCTV-4K,http://112.17.40.140/PLTV/88888888/224/3221226758/index.m3u8
超高清CCTV-4K,http://112.17.40.12/PLTV/88888888/224/3221226758/1.m3u8
超高清CCTV-4K,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/9891cea600df4e8a83851b1b1ce23194/8000.m3u8
超高清CCTV-4K,http://jxiptv.xn--9kqp7k2rd.com/vip/gz.php?id=cctv4k
